,97324,,97390,,97401,,97402,,97403,,97404,,97405,,97408,,97412,,97413,,97419,,97424,,97426,,97430,,97431,,97434,,97437,,97438,,97439,,97446,,97448,,97451,,97452,,97453,,97454,,97455,,97456,,97461,,97463,,97477,,97478,,97480,,97487,,97488,,97489,,97490,,97492,,97493,,97498,
value,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error
Total:,72,37,103,76,2206,370,3398,492,295,63,2408,331,2324,374,890,155,30,15,44,24,129,59,1035,198,885,212,38,20,206,108,126,100,117,66,83,51,1921,236,203,111,952,245,25,19,144,65,92,35,87,56,162,86,185,83,95,103,294,124,2214,306,3007,359,39,27,787,181,52,30,147,87,46,32,229,211,43,32,258,81
"Gulf War (9/2001 or later), no Gulf War (8/1990 to 8/2001), no Vietnam Era",7,8,0,13,258,135,663,177,38,28,392,143,276,118,167,93,0,13,0,13,3,6,137,102,130,104,2,3,20,31,0,13,0,13,9,14,111,77,37,59,98,95,1,4,8,10,3,4,23,36,0,13,0,13,0,13,37,56,315,131,420,166,0,13,7,11,0,13,0,13,18,22,0,13,0,13,10,12
"Gulf War (9/2001 or later) and Gulf War (8/1990 to 8/2001), no Vietnam Era",0,13,0,13,51,49,198,100,4,8,142,109,63,48,35,29,0,13,0,13,18,22,83,102,94,82,15,16,0,13,21,32,0,13,6,10,37,40,0,13,23,25,0,13,0,13,0,13,0,13,0,13,0,13,26,26,0,13,63,42,248,150,4,5,12,16,0,13,16,25,0,13,0,13,0,13,0,13
"Gulf War (9/2001 or later), and Gulf War (8/1990 to 8/2001), and Vietnam Era",0,13,0,13,0,28,0,31,0,21,12,18,0,28,8,13,0,13,0,13,0,13,0,21,0,21,0,13,19,25,0,13,0,13,0,13,8,12,0,13,0,21,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,28,8,14,0,13,5,8,0,13,0,13,0,13,0,13,0,13,0,13
"Gulf War (8/1990 to 8/2001), no Vietnam Era",19,24,0,13,369,228,486,191,14,16,379,149,267,103,19,22,11,11,0,13,7,12,276,113,81,67,0,13,38,41,25,41,42,51,5,9,131,68,19,25,87,94,0,13,35,22,3,4,6,9,15,22,33,41,0,13,17,29,224,102,349,152,0,13,88,64,4,7,15,24,7,12,39,43,0,13,23,23
Gulf War (8/1990 to 8/2001) and Vietnam Era,0,13,0,13,28,26,0,31,0,21,40,39,14,21,12,20,0,13,0,13,0,13,0,21,0,21,3,5,0,13,0,13,0,13,0,13,12,19,13,22,0,21,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,20,20,49,56,0,13,0,19,0,13,0,13,0,13,0,13,0,13,0,13
"Vietnam Era, no Korean War, no World War II",37,25,72,72,818,169,998,206,136,45,735,131,823,167,381,89,9,7,28,21,20,22,285,78,328,120,11,8,108,82,80,53,69,42,31,32,959,187,74,68,418,158,15,13,54,31,51,24,33,32,41,39,80,38,69,101,222,120,778,215,1243,214,22,18,411,124,36,24,44,37,9,13,32,37,21,20,128,53
"Vietnam Era and Korean War, no World War II",0,13,8,12,46,47,0,31,0,21,16,18,9,24,13,20,0,13,0,13,0,13,16,18,0,21,0,13,0,13,0,13,0,13,0,13,0,21,0,13,0,21,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,19,31,28,38,0,13,0,19,0,13,0,13,0,13,0,13,0,13,0,13
Vietnam Era and Korean War and World War II,0,13,0,13,0,28,0,31,0,21,0,28,0,28,0,21,0,13,0,13,0,13,0,21,0,21,0,13,0,13,0,13,0,13,0,13,0,21,0,13,0,21,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,28,0,28,0,13,0,19,0,13,0,13,0,13,0,13,0,13,0,13
"Korean War, no Vietnam Era, no World War II",1,3,0,13,98,87,100,47,21,27,206,122,197,90,23,23,3,4,0,13,0,13,39,29,48,36,0,13,0,13,0,13,0,13,0,13,111,45,0,13,35,37,0,13,0,13,0,13,1,2,14,22,0,13,0,13,8,17,138,103,65,36,0,13,44,47,6,9,0,13,0,13,138,205,0,13,0,13
"Korean War and World War II, no Vietnam Era",0,13,0,13,9,15,0,31,0,21,0,28,0,28,0,21,0,13,0,13,0,13,0,21,0,21,0,13,0,13,0,13,0,13,0,13,0,21,0,13,0,21,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,28,0,28,0,13,0,19,0,13,0,13,0,13,0,13,0,13,0,13
"World War II, no Korean War, no Vietnam Era",0,13,8,13,88,59,37,61,0,21,23,25,121,127,0,21,0,13,0,13,11,17,29,28,0,21,0,13,0,13,0,13,0,13,5,9,42,39,0,13,0,21,0,13,0,13,0,13,12,20,0,13,0,13,0,13,0,13,19,46,6,9,0,13,0,19,0,13,0,13,0,13,0,13,0,13,18,26
Between Gulf War and Vietnam Era only,4,7,15,27,259,124,721,274,40,31,351,103,291,139,99,51,2,4,12,15,50,33,112,58,120,112,7,8,21,32,0,13,0,13,27,31,260,115,38,33,202,123,0,13,32,43,25,27,9,8,50,66,70,57,0,13,0,13,419,157,378,149,12,19,155,95,0,13,39,54,12,15,20,23,22,35,50,31
Between Vietnam Era and Korean War only,4,6,0,13,182,73,180,87,42,35,112,68,245,91,133,86,5,5,4,6,20,18,58,35,60,38,0,13,0,13,0,13,6,10,0,13,250,107,22,35,89,56,9,14,15,20,10,15,3,5,42,41,2,3,0,13,10,17,211,97,213,82,1,2,65,92,6,10,33,36,0,13,0,13,0,13,29,39
Between Korean War and World War II only,0,13,0,13,0,28,15,22,0,21,0,28,18,21,0,21,0,13,0,13,0,13,0,21,24,35,0,13,0,13,0,13,0,13,0,13,0,21,0,13,0,21,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,8,14,0,28,0,13,0,19,0,13,0,13,0,13,0,13,0,13,0,13
Pre-World War II only,0,13,0,13,0,28,0,31,0,21,0,28,0,28,0,21,0,13,0,13,0,13,0,21,0,21,0,13,0,13,0,13,0,13,0,13,0,21,0,13,0,21,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,28,0,28,0,13,0,19,0,13,0,13,0,13,0,13,0,13,0,13